node component_label
1 0
3 0
2054 0
4105 0
11 0
2061 0
18 0
19 0
21 0
2071 0
25 0
26 0
30 0
31 0
4127 0
33 0
35 0
36 0
4131 0
4134 0
39 0
2088 0
2089 0
4136 0
45 0
4144 0
49 0
4145 0
54 0
58 0
60 0
62 0
4158 0
2112 0
4161 0
68 0
71 0
2120 0
2121 0
74 0
75 0
2124 0
4167 0
81 0
82 0
4178 0
4183 0
88 0
4184 0
90 0
4185 0
94 0
99 0
100 0
2152 0
2153 0
2154 0
4201 0
4207 0
2160 0
2161 0
114 0
2162 0
116 0
117 0
2165 0
120 0
124 0
4220 0
4224 0
131 0
2179 0
4228 0
4232 0
4233 0
4234 0
4236 0
2190 0
4238 0
144 0
145 0
2193 0
2194 0
4242 0
2198 0
4248 0
2202 0
4252 0
4256 0
161 0
163 0
4261 0
2216 0
4266 0
172 0
4268 0
2223 0
2224 0
4271 0
4275 0
2231 0
184 0
4286 0
191 0
192 0
193 0
194 0
2239 0
2240 0
2243 0
2246 0
199 0
2248 0
4288 0
202 0
4292 0
4294 0
205 0
206 0
4298 0
4300 0
210 0
2258 0
2259 0
2261 0
2262 0
215 0
2264 0
217 0
218 0
4311 0
2268 0
221 0
2269 0
4312 0
4313 0
225 0
226 0
4316 0
228 0
4318 0
230 0
2279 0
2280 0
4320 0
2282 0
236 0
237 0
240 0
2289 0
4337 0
2292 0
2294 0
4353 0
4355 0
2308 0
2309 0
2310 0
2311 0
4356 0
266 0
267 0
2315 0
2317 0
4369 0
4375 0
282 0
4381 0
2336 0
2338 0
4386 0
2340 0
2341 0
4390 0
4393 0
299 0
301 0
4398 0
303 0
2352 0
305 0
2353 0
307 0
2356 0
4399 0
4405 0
4409 0
4410 0
4412 0
318 0
319 0
2368 0
2369 0
4421 0
4424 0
2380 0
333 0
336 0
4429 0
4432 0
341 0
2389 0
4439 0
2393 0
2394 0
4441 0
4442 0
2397 0
4443 0
2399 0
4446 0
2401 0
2404 0
357 0
2405 0
2407 0
2408 0
4456 0
2410 0
4457 0
365 0
4458 0
4459 0
368 0
2418 0
4469 0
374 0
376 0
2425 0
383 0
4480 0
2433 0
4482 0
388 0
4484 0
4485 0
392 0
2441 0
395 0
396 0
2444 0
4491 0
399 0
2448 0
4498 0
4500 0
4501 0
2456 0
409 0
410 0
2458 0
2459 0
2461 0
414 0
4504 0
4505 0
417 0
2465 0
2470 0
423 0
424 0
425 0
2472 0
428 0
429 0
430 0
2476 0
4528 0
433 0
434 0
2483 0
2484 0
439 0
4536 0
2490 0
4540 0
447 0
448 0
4544 0
4546 0
4548 0
4552 0
457 0
4555 0
4556 0
2509 0
4559 0
4560 0
465 0
467 0
470 0
471 0
2519 0
475 0
476 0
478 0
479 0
480 0
481 0
482 0
2527 0
2528 0
2533 0
4575 0
4586 0
4588 0
493 0
2541 0
495 0
4591 0
2545 0
498 0
4593 0
2548 0
2551 0
2552 0
505 0
507 0
2557 0
510 0
2558 0
4611 0
4612 0
519 0
2571 0
2572 0
4619 0
526 0
527 0
528 0
4627 0
4628 0
2582 0
2585 0
4635 0
542 0
2592 0
2593 0
2595 0
2596 0
2597 0
4644 0
551 0
2600 0
4647 0
4652 0
559 0
2610 0
4658 0
2613 0
4667 0
2622 0
4670 0
4672 0
578 0
4676 0
2629 0
2631 0
4681 0
4687 0
2640 0
4688 0
594 0
2643 0
4692 0
597 0
2645 0
2647 0
600 0
601 0
2650 0
4693 0
604 0
2652 0
606 0
607 0
4698 0
609 0
4700 0
4704 0
4705 0
2661 0
4709 0
615 0
4710 0
4712 0
4713 0
2667 0
2668 0
2669 0
624 0
4723 0
630 0
4726 0
632 0
2681 0
637 0
4738 0
2691 0
646 0
647 0
4747 0
2700 0
654 0
4752 0
661 0
663 0
666 0
4763 0
4764 0
2720 0
4773 0
2727 0
4775 0
4776 0
685 0
2734 0
689 0
691 0
2740 0
693 0
695 0
696 0
2743 0
699 0
702 0
705 0
2756 0
709 0
710 0
2757 0
2761 0
2762 0
2763 0
2765 0
718 0
2767 0
720 0
2772 0
726 0
731 0
733 0
2785 0
2786 0
743 0
745 0
752 0
2800 0
2805 0
761 0
762 0
774 0
2822 0
782 0
784 0
2833 0
786 0
787 0
2835 0
2837 0
790 0
792 0
793 0
2840 0
2841 0
796 0
797 0
2847 0
2848 0
2849 0
2853 0
806 0
808 0
2856 0
810 0
826 0
2874 0
829 0
2878 0
2879 0
832 0
833 0
2881 0
2883 0
2888 0
843 0
844 0
2891 0
850 0
2902 0
2907 0
860 0
861 0
2910 0
868 0
880 0
2928 0
2930 0
883 0
884 0
2933 0
2936 0
2937 0
890 0
891 0
892 0
2938 0
894 0
900 0
902 0
2951 0
2955 0
2956 0
2957 0
911 0
913 0
920 0
2971 0
2973 0
927 0
929 0
930 0
931 0
932 0
933 0
2978 0
2981 0
2988 0
2989 0
942 0
2991 0
944 0
945 0
946 0
2993 0
2994 0
949 0
950 0
951 0
952 0
2997 0
954 0
957 0
958 0
959 0
3009 0
3010 0
966 0
3017 0
971 0
3021 0
3023 0
979 0
986 0
3034 0
3036 0
3039 0
992 0
3040 0
995 0
3047 0
3061 0
3062 0
3063 0
3067 0
1026 0
3074 0
1033 0
3085 0
1038 0
3089 0
1043 0
3099 0
3102 0
1055 0
3108 0
3116 0
1071 0
1079 0
3128 0
1081 0
3129 0
1084 0
1087 0
3139 0
1092 0
3145 0
1099 0
4289 0
1103 0
1104 0
1105 0
3151 0
3152 0
1108 0
1110 0
3159 0
1118 0
1132 0
3182 0
1140 0
1143 0
3191 0
3192 0
3193 0
1154 0
3202 0
3206 0
1159 0
3208 0
1163 0
1165 0
3214 0
1168 0
3221 0
3222 0
3223 0
1176 0
1178 0
1180 0
1181 0
1182 0
1186 0
3234 0
3242 0
3246 0
1199 0
1202 0
3255 0
3257 0
1211 0
3262 0
1216 0
3264 0
3269 0
1223 0
1226 0
3275 0
3276 0
3277 0
3280 0
1241 0
1250 0
4319 0
1252 0
1253 0
1254 0
3304 0
1257 0
3305 0
3307 0
1261 0
3313 0
1267 0
3320 0
1275 0
1283 0
3333 0
3343 0
1299 0
1300 0
3347 0
3351 0
3352 0
1305 0
1306 0
1307 0
3355 0
3356 0
3358 0
1312 0
3360 0
1314 0
3361 0
3365 0
1318 0
1325 0
1326 0
1328 0
3377 0
1336 0
3389 0
1343 0
3391 0
3394 0
1349 0
3398 0
3399 0
1361 0
1362 0
3411 0
1364 0
1368 0
3416 0
3417 0
3426 0
3427 0
3432 0
3434 0
1389 0
3438 0
1391 0
1395 0
1401 0
3452 0
1407 0
3457 0
3461 0
1416 0
3466 0
3468 0
1428 0
3476 0
1443 0
3493 0
3496 0
1450 0
3500 0
1453 0
1455 0
1456 0
3503 0
3505 0
3510 0
3514 0
3515 0
1469 0
1476 0
3527 0
1480 0
1482 0
3550 0
3551 0
3552 0
1508 0
3556 0
3565 0
1519 0
3567 0
3569 0
1525 0
1533 0
1535 0
3585 0
3586 0
1539 0
3590 0
1544 0
1545 0
1553 0
3601 0
1557 0
1558 0
1560 0
1564 0
1571 0
3626 0
3628 0
1581 0
3630 0
1589 0
1590 0
3637 0
1597 0
3646 0
1599 0
3647 0
3650 0
1603 0
1607 0
1609 0
3666 0
1619 0
3667 0
1621 0
3668 0
3670 0
3672 0
3674 0
1627 0
3680 0
3683 0
1641 0
3690 0
1644 0
1658 0
3706 0
3716 0
3720 0
3721 0
3732 0
1692 0
1694 0
3747 0
3748 0
3752 0
3753 0
1709 0
3757 0
3760 0
3761 0
1714 0
3763 0
1718 0
1719 0
1720 0
3766 0
3768 0
1724 0
1726 0
3775 0
1728 0
3776 0
1732 0
3782 0
3783 0
3784 0
3785 0
1739 0
1740 0
3789 0
1744 0
1747 0
3795 0
3796 0
3797 0
1755 0
3806 0
1759 0
3815 0
3820 0
1773 0
1776 0
1779 0
1783 0
3836 0
1791 0
1793 0
1798 0
1800 0
1802 0
3851 0
1804 0
1805 0
3853 0
3864 0
1817 0
1820 0
3869 0
1822 0
1824 0
1832 0
1837 0
1841 0
3889 0
1848 0
1849 0
1850 0
3900 0
1855 0
1857 0
3907 0
1861 0
1862 0
3909 0
3914 0
3915 0
3916 0
3917 0
1870 0
3918 0
3919 0
3931 0
1886 0
3935 0
1891 0
1892 0
1894 0
3943 0
1897 0
1898 0
1901 0
1902 0
3950 0
1905 0
3953 0
3954 0
3955 0
3957 0
3959 0
1912 0
1915 0
3962 0
3964 0
1920 0
1921 0
1922 0
3967 0
3969 0
3972 0
3974 0
3976 0
3981 0
3982 0
1935 0
1936 0
3983 0
3984 0
1939 0
3990 0
3992 0
1948 0
1953 0
4002 0
4003 0
4004 0
4005 0
1961 0
1962 0
4010 0
4013 0
1967 0
1971 0
4019 0
4026 0
1979 0
1981 0
1983 0
1985 0
4037 0
1990 0
4040 0
4044 0
1998 0
1999 0
2001 0
4049 0
4051 0
4053 0
4054 0
4056 0
4057 0
4059 0
4062 0
4063 0
4064 0
2018 0
2020 0
4069 0
4071 0
4072 0
4075 0
2028 0
2031 0
2034 0
4085 0
2039 0
4090 0
0 1
9 1
10 1
12 1
13 1
14 1
17 1
20 1
32 1
34 1
37 1
38 1
40 1
41 1
43 1
52 1
56 1
57 1
59 1
65 1
70 1
72 1
76 1
78 1
79 1
80 1
95 1
96 1
98 1
102 1
104 1
108 1
109 1
112 1
113 1
115 1
121 1
132 1
133 1
134 1
139 1
140 1
142 1
143 1
146 1
148 1
151 1
152 1
158 1
160 1
162 1
164 1
165 1
166 1
170 1
171 1
177 1
178 1
181 1
197 1
198 1
200 1
201 1
203 1
207 1
211 1
219 1
229 1
233 1
239 1
250 1
251 1
253 1
260 1
262 1
263 1
264 1
265 1
269 1
273 1
274 1
278 1
291 1
295 1
306 1
310 1
312 1
313 1
314 1
315 1
316 1
317 1
320 1
323 1
324 1
331 1
332 1
337 1
342 1
345 1
346 1
347 1
348 1
349 1
352 1
354 1
355 1
358 1
364 1
375 1
384 1
385 1
387 1
397 1
401 1
402 1
403 1
405 1
408 1
411 1
418 1
420 1
421 1
435 1
436 1
441 1
442 1
443 1
444 1
445 1
449 1
450 1
453 1
458 1
462 1
463 1
464 1
477 1
483 1
486 1
489 1
492 1
497 1
500 1
501 1
502 1
503 1
504 1
506 1
512 1
514 1
520 1
523 1
524 1
525 1
529 1
531 1
532 1
533 1
536 1
537 1
539 1
540 1
541 1
544 1
546 1
547 1
548 1
549 1
550 1
554 1
555 1
558 1
560 1
561 1
562 1
563 1
564 1
569 1
574 1
576 1
577 1
581 1
582 1
584 1
586 1
589 1
596 1
610 1
613 1
614 1
616 1
622 1
626 1
627 1
631 1
636 1
638 1
640 1
641 1
643 1
644 1
649 1
664 1
667 1
671 1
672 1
673 1
676 1
677 1
679 1
681 1
683 1
686 1
694 1
700 1
703 1
713 1
716 1
717 1
719 1
721 1
724 1
725 1
727 1
728 1
730 1
732 1
734 1
735 1
738 1
739 1
741 1
742 1
744 1
753 1
754 1
755 1
756 1
760 1
768 1
770 1
771 1
773 1
783 1
789 1
791 1
798 1
799 1
800 1
801 1
802 1
803 1
807 1
809 1
811 1
817 1
821 1
824 1
825 1
827 1
837 1
842 1
845 1
848 1
849 1
851 1
852 1
853 1
857 1
858 1
859 1
862 1
863 1
864 1
865 1
867 1
870 1
871 1
874 1
875 1
876 1
879 1
882 1
885 1
887 1
888 1
896 1
899 1
901 1
905 1
906 1
921 1
922 1
926 1
935 1
938 1
939 1
941 1
943 1
960 1
970 1
973 1
974 1
975 1
976 1
977 1
980 1
987 1
988 1
990 1
991 1
993 1
994 1
997 1
998 1
1000 1
1001 1
1002 1
1003 1
1005 1
1006 1
1007 1
1008 1
1010 1
1011 1
1012 1
1014 1
1016 1
1018 1
1019 1
1021 1
1024 1
1030 1
1034 1
1035 1
1039 1
1040 1
1042 1
1044 1
1045 1
1048 1
1051 1
1052 1
1061 1
1064 1
1065 1
1066 1
1067 1
1068 1
1072 1
1076 1
1089 1
1090 1
1091 1
1094 1
1095 1
1096 1
1097 1
1098 1
1100 1
1101 1
1102 1
1107 1
1112 1
1113 1
1114 1
1116 1
1121 1
1124 1
1125 1
1126 1
1128 1
1129 1
1133 1
1134 1
1137 1
1144 1
1145 1
1146 1
1149 1
1150 1
1152 1
1153 1
1155 1
1156 1
1157 1
1158 1
1173 1
1174 1
1179 1
1189 1
1191 1
1192 1
1196 1
1198 1
1200 1
1207 1
1210 1
1218 1
1219 1
1220 1
1230 1
1231 1
1232 1
1233 1
1234 1
1235 1
1238 1
1239 1
1240 1
1243 1
1244 1
1247 1
1256 1
1260 1
1262 1
1263 1
1264 1
1269 1
1270 1
1276 1
1277 1
1278 1
1279 1
1280 1
1282 1
1287 1
1289 1
1290 1
1291 1
1293 1
1303 1
1310 1
1311 1
1315 1
1316 1
1320 1
1322 1
1323 1
1324 1
1329 1
1331 1
1332 1
1333 1
1334 1
1335 1
1338 1
1339 1
1340 1
1344 1
1348 1
1352 1
1354 1
1356 1
1358 1
1359 1
1366 1
1375 1
1376 1
1381 1
1383 1
1396 1
1398 1
1400 1
1406 1
1408 1
1409 1
1410 1
1413 1
1414 1
1417 1
1418 1
1421 1
1424 1
1425 1
1429 1
1432 1
1433 1
1434 1
1437 1
1439 1
1441 1
1445 1
1448 1
1454 1
1457 1
1458 1
1459 1
1462 1
1465 1
1468 1
1470 1
1472 1
1473 1
1475 1
1478 1
1483 1
1488 1
1490 1
1491 1
1492 1
1493 1
1494 1
1501 1
1502 1
1504 1
1506 1
1511 1
1513 1
1518 1
1527 1
1529 1
1530 1
1532 1
1536 1
1537 1
1538 1
1540 1
1541 1
1543 1
1547 1
1549 1
1550 1
1554 1
1556 1
1563 1
1567 1
1578 1
1579 1
1580 1
1583 1
1585 1
1587 1
1588 1
1592 1
1595 1
1604 1
1610 1
1616 1
1617 1
1620 1
1622 1
1623 1
1625 1
1626 1
1629 1
1632 1
1633 1
1634 1
1637 1
1638 1
1640 1
1642 1
1645 1
1646 1
1648 1
1649 1
1652 1
1654 1
1656 1
1657 1
1662 1
1669 1
1670 1
1672 1
1676 1
1680 1
1682 1
1683 1
1684 1
1686 1
1687 1
1690 1
1691 1
1695 1
1696 1
1699 1
1702 1
1703 1
1704 1
1705 1
1706 1
1707 1
1708 1
1712 1
1722 1
1723 1
1725 1
1729 1
1730 1
1734 1
1737 1
1742 1
1748 1
1749 1
1750 1
1752 1
1758 1
1761 1
1765 1
1766 1
1768 1
1769 1
1774 1
1778 1
1781 1
1782 1
1785 1
1786 1
1788 1
1789 1
1790 1
1795 1
1796 1
1797 1
1799 1
1801 1
1803 1
1806 1
1807 1
1808 1
1810 1
1811 1
1814 1
1815 1
1818 1
1825 1
1827 1
1828 1
1829 1
1834 1
1839 1
1840 1
1842 1
1847 1
1851 1
1852 1
1853 1
1863 1
1868 1
1875 1
1877 1
1879 1
1880 1
1882 1
1883 1
1884 1
1887 1
1899 1
1910 1
1911 1
1919 1
1924 1
1927 1
1928 1
1931 1
1933 1
1943 1
1945 1
1954 1
1968 1
1969 1
1975 1
1978 1
1980 1
1982 1
1984 1
1986 1
1987 1
1992 1
1993 1
1994 1
1995 1
2000 1
2002 1
2003 1
2004 1
2007 1
2008 1
2011 1
2013 1
2014 1
2017 1
2019 1
2025 1
2030 1
2032 1
2035 1
2037 1
2040 1
2041 1
2045 1
2046 1
2047 1
2048 1
2050 1
2051 1
2052 1
2055 1
2063 1
2065 1
2066 1
2067 1
2069 1
2070 1
2072 1
2073 1
2074 1
2080 1
2081 1
2082 1
2084 1
2086 1
2087 1
2092 1
2093 1
2094 1
2096 1
2097 1
2099 1
2100 1
2101 1
2102 1
2103 1
2107 1
2109 1
2114 1
2116 1
2117 1
2118 1
2119 1
2123 1
2130 1
2131 1
2135 1
2138 1
2140 1
2141 1
2144 1
2148 1
2150 1
2163 1
